Author,ISBN,Title,Quantity,New,Used,Semester,Discrepancies between Netsuite Quantity,Last Checked
"Fernandez, F",9783631626993,Temas De Gramatica Espanola Para Estudiantes Universitarios,3,,,191,consistent,7/25/19
"Ferry, D",9780374525729,Odes Of Horace - Bilingual Ed,10,,,191,consistent,7/25/19
"Festa-Bianchet, M",9781597261715,Mountain Goats,3,,,181,consistent,7/25/19
"Finkelman, P",9780312115944,Dred Scott Vs Stanford,4,,,181,consistent,7/25/19
"Fitzpatrick, C",9780976716075,Forensic Genealogy W/Cd,1,,,191,consistent,7/25/19
"Fleischman, P",9780312629113,Whirligig,4,,,185,consistent,7/25/19
"Flexner, J",9780316286169,Washington Indispensable Man,3,,,191,consistent,7/25/19
"Fluhman, S",9780842530224,To Be Learned is Good,1,,,191,consistent,7/25/19
"Foner, N",9780231159371,One Out of Three,5,,,191,consistent,7/25/19
"Foster, J",9781576754306,How To Get Ideas 2E,1,,,195,consistent,7/25/19
"Frances, A",9781462513482,Essentials Psychiatric Diagnosis Revised Ed,1,,,191,consistent,7/25/19
Freeman,9780134283463,Ebook Biological Sci W/Masteringbiology 6E,3,,,181,consistent,7/25/19
"Frieden, J",9780393912388,World Politics 2E,22,,,185,consistent,7/25/19
"Friedman, J",9781634606394,The Law of Employment Discrimination 11E,3,,,191,"3 in cage, netsuite says 12",7/25/19
"Friedman, T ",9780312425074,World Is Flat 3.0,22,,,191,consistent,7/25/19
Frith,9780674661967,Performing Rites: On the Value of Popular Music,12,,,181,consistent,7/25/19
"Fuchs, R",9780878919666,Sociology Essentials,26,,,181,consistent,7/25/19
"Fuentes, C",9786071106148,El espejo enterrado,1,,,191,consistent,7/25/19
"Fujii, N",9780824832520,Aozora,3,,,181,consistent,7/25/19
"Gainor, J",9780393283471,The Norton Anthology of Drama V 1 3E,3,,,193,consistent,7/25/19
"Galdos, B",9781534764378,El Abuelo,7,,,191,consistent,7/25/19
"Garcia-Lorca, F",9788437605609,Bodas De Sangre (Catedra #231),35,,,191,consistent,7/25/19
"Gause, F",9780521137300,International Relations of the Persian Gulf,2,,,181,consistent,7/25/19
"Geeds, A",9781849204682,The Politics of Migration & Immigration in Europe,1,,,191,consistent,7/25/19
"Gehring, S",9789517925433,Suomen Mestari Volume 1,11,,,185,consistent,7/25/19
"Gelfand, S",9781604068610,Essen Of Audiology 4E,14,,,191,consistent,7/25/19
"Gere, J",9781111577735,Mechanics Of Materials 8E,19,,,183,consistent,7/25/19
"Gersmehl, P",9781462516414,Teaching Geography 3E,2,,,191,consistent,7/25/19
Gifford Rob,9780812975246,China Road: A Journey Into The Future Of A Ri,4,,,191,consistent,7/25/19
"Gilbert, M",9780805003482,Holocaust W/Pgs 657-688,1,,,191,consistent,7/25/19
"Gilman, C",9780486298573,Yellow Wallpaper & Other Stories,17,,,191,consistent,7/25/19
"Gilroy, A",9781604069204,(Pkg) Atlas Of Anatomy 2E + Anatomy Essential Text,1,,,181,consistent,7/25/19
"Gippert, J",9783110184068,Essentials of Language Documentation,1,,,185,consistent,7/25/19
"Girolami, G",9780935702484,Synthesis & Technique In Inorganic Chemistry 3E,1,,,191,consistent,7/25/19
"Gogol, N",9780679776444,Dead Souls (Pevear & Volokhonsky),1,,,191,consistent,7/25/19
"Goldsmith, E",9780131590496,Consumer Economics 2E,2,,,181,consistent,7/25/19
"Goldsmith, J",9780226301518,Chicago Guide to Your Academic Career,2,,,185,consistent,7/25/19
"Gonzalez, R",9780199754915,Modern Latin American Lit,1,,,185,consistent,7/25/19
Gospel,9786710517991,Gospel Teaching And Learning 10581,42,,,181,consistent,7/25/19
"Graff, G",9780393631678,They Say I Say (Academic Writing) 4E,1,,,191,consistent,7/25/19
"Graham, D",9780521608428,Texts of Early Greek Philosophy 2V,1,,,185,consistent,7/25/19
"Grahn, L",9780989653275,The Keys to Strategies for Language Instruction,3,,,191,consistent,7/25/19
"Gray, T",9780316480581,Molecules: The Elements and Architecture of,3,,,191,consistent,7/25/19
"Gray, T",9781579129712,Molecules: The Elements and Architecture of,8,,,191,consistent,7/25/19
"Gray, T",9780316391221,Reactions,1,,,191,consistent,7/25/19
"Greenberg, B",9780671602703,How To Run A Traditional Jewish Household,5,,,191,consistent,7/25/19
"Greenblatt, S",9780393912524,Norton Anth Of Engl Lit 9E Vol D,1,,,185,consistent,7/25/19
"Gregoire, M",9780132620819,Foodservice Organizations 8E,12,,,181,consistent,7/25/19
"Grisham, J",9780440245926,The Firm,1,,,191,consistent,7/25/19
Groth-Marnat,9781118960646,Handbook of Psychological Assessment 6E,2,,,191,consistent,7/25/19
"Gueno, J",9782290038628,Paroles D'etoiles,1,,,184,consistent,7/23/19
"Hacker, J",9781605099903,Collaborative Intelligence,3,,,191,consistent,7/23/19
"Haidt, J",9780307455772,Righteous Mind,1,,,193,consistent,7/23/19
Haig,9784805313978,Compact Nelson Japanese-English Character Dictionary (P),3,,,191,consistent,7/23/19
"Haines, d",9781451186253,Neuroanatomy In Clinical Context,1,,,185,consistent,7/23/19
"Hamilon, A",9780451528810,Federalist Papers,1,,,193,"1 in cage, netsuite says 4",7/25/19
"Hamsum, K",9788205394810,Sult,5,,,181,consistent,7/23/19
"Harrelson, G",9781556427398,Administrative Topics In Athletic Training,7,,,181,consistent,7/23/19
"Harris, K",9781557667052,Powerful Writing Strats For Students,1,,,191,consistent,7/23/19
"Harris, R",9781607975625,Exploring The Geology Of Little Cottonwood Canyon,38,,,191,consistent,7/23/19
"Harris, W",9780300171327,Hanging Of Thomas Jeremiah,5,,,191,consistent,7/23/19
"Harter, S",9781462522729,The Construction Of The Self,3,,,191,consistent,7/23/19
Hartzen Busch,9788437602745,Los Amantes De Teruel (Catedra),8,,,183,consistent,7/23/19
Harvard Bus,9781422104606,What Is Marketing?,1,,,185,consistent,7/23/19
Harvard Busines,9781591391111,Negotiation,11,,,191,consistent,7/23/19
"Hatcher, A",9780521795401,Algebraic Topology,3,,,191,consistent,7/23/19
"Hawking, S",9780553103748,Illustrated A Brief History Of Time: Updated,20,,,185,consistent,7/23/19
"Hawkins, A",9781465220653,Ebook Practically Magic 2E Rev,43,,,175,consistent,7/23/19
"Hawkins, A",9781524950347,Ebook Practically Magic 2E Rev,168,,,191,consistent,7/23/19
"Hawthorne, N",9780140390285,Blithedale Romance,4,,,191,consistent,7/23/19
Hayden-Mcneil,9781930882355,Life Sciences Sudent Lab Notebook,7,,,191,consistent,7/23/19
"Haydn, T",9780415688383,Using New Technologies To Enhance Teaching,2,,,191,consistent,7/23/19
"Healy, K",9780691181622,Data Visualization: A Practical Introduction,1,,,193,consistent,7/23/19
"Heaney, S",9780393320978,Beowulf,1,,,193,"1 in cage, netsuite says 5",7/25/19
Hearder,9780521000727,Italy: A Short History 2E,5,,,191,consistent,7/23/19
"Helihy, D",9780674076136,Black Death & The Transformation Of The West,1,,,191,"1 in cage, netsuite says 2",7/25/19
"Hennig, B",9783484108097,Kleines Mittelhochdeutsches Worterbuch,1,,,175,consistent,7/23/19
"Henretta, J",9781457648656,America: Concise History 6E Vol 1,21,,,191,consistent,7/23/19
"Henretta, J",9780312643294,America: Concise History Vol 2 5E,4,,,191,consistent,7/25/19
"Heppner, E",9780803272811,Shanghai Refuge,20,,,185,consistent,7/23/19
"Hergenhahn, B",9781133958093,Intro To History Of Psychology 7E,4,,,181,consistent,7/23/19
"Hess, D",9780415880992,Political Classroom,1,,,191,consistent,7/23/19
"Heward, W",9780132626163,Exceptional Children 10E,3,,,191,consistent,7/23/19
"Hibbert, C",9780465027248,George III,5,,,191,consistent,7/23/19
Hickman,9781308344393,Biological Diversity: Animals 7E (Custom),2,,,185,consistent,7/23/19
"Higginbotham, D",9780930350444,War Of American Independence,2,,,191,consistent,7/23/19
"Higgins, R",9780500203033,Minoan & Mycenaean Art Revised Edition,3,,,191,consistent,7/23/19
"Hill, F",9780306811593,Delusion Of Satan,22,,,191,consistent,7/23/19
"Hinkle, D",9780618124053,Applied Statistics For Behavioral Sciences 5E,1,,,175,"1 in cage, netsuite says 0",7/25/19
"Hobson, J",9780192802156,Dreaming,13,,,191,consistent,7/25/19
Hockenberry,9780323222419,Wong's Nursing Care Of Infants & Children 10E,14,,,185,consistent,7/23/19
"Hoffman, J",9780871014573,Linear Regression Analysis: Assumptions & Apps,7,,,191,consistent,7/23/19
"Hoffman, R",9780307888907,The Start-Up of You,3,,,185,consistent,7/23/19
"Holifield, E",9780300107654,Theology in America,10,,,195,consistent,7/23/19
"Holmberg, J",9780806138510,By His own Hand,2,,,191,consistent,7/23/19
"Holt, B",9780669462937,Major Problems in African Amer Hist V2,7,,,181,consistent,7/23/19
"Holt, K",9780312660956,My Louisiana Sky,2,,,195,consistent,7/23/19
Homer,9780872205420,The Essential Iliad (Lombardo),3,,,193,"3 in cage, netsuite says 8, rental (no record)",7/25/19
Homer,9780374529055,Iliad of Homer,1,,,191,consistent,7/23/19
Homer,9780140275360,Iliad (Fagles),1,,,191,consistent,7/23/19
"Hoshi, S",9784101098012,Bokko-Chan,6,,,191,consistent,7/23/19
"Howard, J",9781475050158,Korean Genealogy Guide,1,,,185,consistent,7/23/19
"Hull, J",9780134083247,Fund Of Futures & Options Markets 9E,35,,,191,consistent,7/23/19
"Hunkin, G",9780824831318,Gagana Samoa,1,,,185,consistent,7/23/19
"Iber, j",9781585442058,Hispanics In The Mormon Zion 1912-1999,6,,,181,consistent,7/23/19
"Ibsen, H",9780486426860,Peer Gynt 1E,8,,,185,consistent,7/23/19
"Ichiyo, H",9784003102527,Otsugomori - Juusan'ya,2,,,191,consistent,7/23/19
"Imwinkeleied, E",9781632814838,Evidentiary Foundations 9E,1,,,185,consistent,7/23/19
"Inglis, D",9780745642093,An Invitation To Social Theory,1,,,191,consistent,7/23/19
"Iselin, T",9780964913950,First Things First,22,,,191,consistent,7/23/19
Isom-Verhaaron,9780253019431,Living In The Ottoman Realm,1,,,181,consistent,7/23/19
"Iwasaki, S",9789027238184,Japanese,1,,,181,consistent,7/23/19
"Jacobs, J",9780394705842,The Economy of Cities,1,,,191,consistent,7/23/19
"Jaeger, M",9780865166806,A Livy Reader: Selections from Ab Urbe Condita,5,,,191,consistent,7/23/19
"James, W",9780140437355,Pragmatism And Other Writings,3,,,191,consistent,7/23/19
"Jefferson, T",9781604592689,U.S. Constitution,7,,,181,consistent,7/23/19
"Jensen, D",9780669200096,Reformation Europe 2E,5,,,191,consistent,7/23/19
"Jergensen, S",9780991189281,Seasons Of Change,2,,,191,consistent,7/23/19
"Jesild, P",9789175032238,En Levande Sjal,1,,,191,consistent,7/23/19
"Johnson, C",9780393341812,Microstyle,6,,,181,consistent,7/23/19
